trial,category,object_name,required_force_N,damage_limit_N,actual_force_N,outcome,timestamp
1,0.05,Very Fragile,0.589,5.0,3.942,FAIL,14:56:27
2,0.05,Very Fragile,0.589,5.0,3.957,SUCCESS,14:56:39
3,0.05,Very Fragile,0.589,5.0,3.198,SUCCESS,14:56:55
4,0.05,Very Fragile,0.589,5.0,1.878,SUCCESS,14:57:07
5,0.05,Very Fragile,0.589,5.0,2.661,FAIL,14:57:22
6,0.05,Very Fragile,0.589,5.0,0.0,FAIL,14:57:46
7,0.05,Very Fragile,0.589,5.0,1.113,FAIL,14:57:57
8,0.05,Very Fragile,0.589,5.0,3.731,SUCCESS,14:58:14
9,0.05,Very Fragile,0.589,5.0,3.887,SUCCESS,14:58:23
10,0.05,Very Fragile,0.589,5.0,3.924,SUCCESS,14:58:38
11,0.05,Very Fragile,0.589,5.0,3.97,SUCCESS,14:58:49
12,0.05,Very Fragile,0.589,5.0,4.074,SUCCESS,14:58:59
13,0.05,Very Fragile,0.589,5.0,3.898,SUCCESS,14:59:10
14,0.05,Very Fragile,0.589,5.0,2.581,FAIL,14:59:19
15,0.05,Very Fragile,0.589,5.0,3.853,FAIL,14:59:26
16,0.05,Very Fragile,0.589,5.0,4.022,FAIL,14:59:34
17,0.05,Very Fragile,0.589,5.0,4.111,SUCCESS,14:59:44
18,0.05,Very Fragile,0.589,5.0,2.555,FAIL,14:59:52
19,0.05,Very Fragile,0.589,5.0,4.105,SUCCESS,15:00:02
20,0.05,Very Fragile,0.589,5.0,3.607,SUCCESS,15:00:16
21,0.1,Fragile,1.177,10.0,4.294,SUCCESS,15:00:49
22,0.1,Fragile,1.177,10.0,4.309,SUCCESS,15:00:59
23,0.1,Fragile,1.177,10.0,4.261,SUCCESS,15:01:08
24,0.1,Fragile,1.177,10.0,3.477,FAIL,15:01:21
25,0.1,Fragile,1.177,10.0,4.216,SUCCESS,15:01:37
26,0.1,Fragile,1.177,10.0,4.29,SUCCESS,15:01:51
27,0.1,Fragile,1.177,10.0,4.194,FAIL,15:02:02
28,0.1,Fragile,1.177,10.0,4.285,SUCCESS,15:02:15
29,0.1,Fragile,1.177,10.0,4.307,SUCCESS,15:02:29
30,0.1,Fragile,1.177,10.0,4.207,FAIL,15:02:36
31,0.1,Fragile,1.177,10.0,4.316,SUCCESS,15:02:55
32,0.1,Fragile,1.177,10.0,4.305,SUCCESS,15:03:06
33,0.1,Fragile,1.177,10.0,3.777,SUCCESS,15:03:22
34,0.1,Fragile,1.177,10.0,4.298,SUCCESS,15:03:40
35,0.1,Fragile,1.177,10.0,4.253,SUCCESS,15:03:50
36,0.1,Fragile,1.177,10.0,4.309,SUCCESS,15:03:57
37,0.1,Fragile,1.177,10.0,4.255,SUCCESS,15:04:05
38,0.1,Fragile,1.177,10.0,4.281,SUCCESS,15:04:19
39,0.1,Fragile,1.177,10.0,4.251,FAIL,15:04:26
40,0.1,Fragile,1.177,10.0,4.272,SUCCESS,15:04:34
41,0.2,Medium,2.354,20.0,4.198,SUCCESS,15:05:04
42,0.2,Medium,2.354,20.0,4.164,FAIL,15:05:24
